review,cluster_id,cluster_label
perfect app order item easily affordable,-1,Outliers / mixed
nice,6,nice_nice nice_nice app_app
best hai,2,best_hai_best super_super acha
good,3,good good_good__
order two item long time ago delivery person hand one item charge price bothno money refund even inform matterperhaps theyblinkit think minor incident,4,charge_item_time_35 minute
communication skill poor,1,app_app good_location app_location
poor system update location app properly survive lot valuable time add location app also delivary man ugly behave,1,app_app good_location app_location
provide area thats annoy,7,area thats_exellent_provide_provide area
superb,0,cash_delivery_service_change
luvvv app,1,app_app good_location app_location
good well,3,good good_good__
good service,-1,Outliers / mixed
nice,6,nice_nice nice_nice app_app
much surge charge tax,4,charge_item_time_35 minute
like service give superb,0,cash_delivery_service_change
good,3,good good_good__
awesome,2,best_hai_best super_super acha
great,5,great_order_time_bag
try increase delivery distance srinagar part eg pampore,0,cash_delivery_service_change
love blinkit always delivers time never disaapoint vast variety product excellent service,0,cash_delivery_service_change
best,2,best_hai_best super_super acha
nice app,6,nice_nice nice_nice app_app
super,2,best_hai_best super_super acha
good app,1,app_app good_location app_location
good app,1,app_app good_location app_location
order first time blinkit deliver without blikit bag dirty hand delievery boy,5,great_order_time_bag
good,3,good good_good__
thankyou much please keep app forever,1,app_app good_location app_location
delivered time handle order care great service,5,great_order_time_bag
doesnt carry sort balance give cash deliveryeveytime face issuewhy dont carry little change examplemy order 458 give 500 rupeesstill want 458 changehow suppose give much change ridiculous expect everyone cash online,0,cash_delivery_service_change
acha hai,2,best_hai_best super_super acha
every time charge high demand charge handle charge upto 4050 r rarely use thisto deliver 35 minute,4,charge_item_time_35 minute
cash delivery able certain amount,0,cash_delivery_service_change
exellent,7,area thats_exellent_provide_provide area
fast delivery aap like service blinkit,0,cash_delivery_service_change
